TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1611661321,2024,10,Sevgi Uzun,Sevgi,sevgi-uzun,1,G,5-10,141,"NOV 25, 1997",26.0,R,,1642244,
1611661321,2024,10,Jacy Sheldon,Jacy,jacy-sheldon,4,G,5-10,140,"AUG 23, 2000",24.0,R,Ohio State,1642292,
1611661321,2024,10,Natasha Howard,Natasha,natasha-howard,6,F,6-2,165,"SEP 02, 1991",33.0,10,Florida State,203827,
1611661321,2024,10,Lou Lopez Sénéchal,Lou,lou-lopez-sénéchal,8,G,6-1,155,"MAY 12, 1998",26.0,R,Connecticut,1641661,
1611661321,2024,10,Stephanie Soares,Stephanie,stephanie-soares,10,C,6-6,196,"APR 17, 2000",24.0,R,Iowa State,1641654,
1611661321,2024,10,Teaira McCowan,Teaira,teaira-mccowan,15,C,6-7,239,"SEP 28, 1996",28.0,5,Mississippi State,1629479,
1611661321,2024,10,Jaelyn Brown,Jaelyn,jaelyn-brown,18,G-F,6-1,170,"OCT 12, 1998",26.0,R,California,1642240,
1611661321,2024,10,Maddy Siegrist,Maddy,maddy-siegrist,20,F,6-2,175,"MAY 22, 2000",24.0,1,Villanova,1641652,
1611661321,2024,10,Kalani Brown,Kalani,kalani-brown,21,C,6-7,245,"MAR 21, 1997",27.0,4,Baylor,1629480,
1611661321,2024,10,Arike Ogunbowale,Arike,arike-ogunbowale,24,G,5-8,165,"MAR 02, 1997",27.0,5,Notre Dame,1629481,
1611661325,2024,10,Kelsey Mitchell,Kelsey,kelsey-mitchell,0,G,5-8,160,"NOV 12, 1995",29.0,6,Ohio State,1628909,
1611661325,2024,10,NaLyssa Smith,NaLyssa,nalyssa-smith,1,F,6-4,185,"AUG 08, 2000",24.0,2,Baylor,1631019,
1611661325,2024,10,Kristy Wallace,Kristy,kristy-wallace,3,G,5-11,157,"JAN 03, 1996",28.0,2,Baylor,1628929,
1611661325,2024,10,Victaria Saxton,Victaria,victaria-saxton,5,F,6-2,181,"NOV 10, 1999",25.0,1,South Carolina,1641687,
1611661325,2024,10,Aliyah Boston,Aliyah,aliyah-boston,7,F-C,6-5,220,"DEC 11, 2001",22.0,1,South Carolina,1641648,
1611661325,2024,10,Lexie Hull,Lexie,lexie-hull,10,G,6-1,155,"SEP 13, 1999",25.0,2,Stanford,1631086,
1611661325,2024,10,Damiris Dantas,Damiris,damiris-dantas,12,F,6-3,214,"NOV 17, 1992",31.0,8,Real Celta Vigo,203024,
1611661325,2024,10,Temi Fagbenle,Temi,temi-fagbenle,14,C,6-4,180,"SEP 08, 1992",32.0,3,Southern California,1627701,
1611661325,2024,10,Erica Wheeler,Erica,erica-wheeler,17,G,5-7,143,"MAY 02, 1991",33.0,8,Rutgers,204365,
1611661325,2024,10,Caitlin Clark,Caitlin,caitlin-clark,22,G,6-0,152,"JAN 22, 2002",22.0,R,Iowa,1642286,
1611661325,2024,10,Katie Lou Samuelson,Katie Lou,katie-lou-samuelson,33,F,6-3,163,"JUN 13, 1997",27.0,4,Connecticut,1629478,
1611661325,2024,10,Grace Berger,Grace,grace-berger,34,G,6-0,160,"JUN 03, 1999",25.0,1,Indiana,1641658,
1611661319,2024,10,Jackie Young,Jackie,jackie-young,0,G,6-0,165,"SEP 16, 1997",27.0,5,Notre Dame,1629498,
1611661319,2024,10,Kierstan Bell,Kierstan,kierstan-bell,1,F,6-1,176,"MAR 16, 2000",24.0,2,Florida Gulf Coast,1631006,
1611661319,2024,10,Queen Egbo,Queen,queen-egbo,4,F-C,6-4,190,"JUN 29, 2000",24.0,2,Baylor,1631031,
1611661319,2024,10,Alysha Clark,Alysha,alysha-clark,7,F,5-11,167,"JUL 07, 1987",37.0,11,Middle Tennessee,202252,
1611661319,2024,10,Kelsey Plum,Kelsey,kelsey-plum,10,G,5-8,145,"AUG 24, 1994",30.0,6,Washington,1628276,
1611661319,2024,10,Chelsea Gray,Chelsea,chelsea-gray,12,G,5-11,170,"OCT 08, 1992",32.0,9,Duke,203833,
1611661319,2024,10,Tiffany Hayes,Tiffany,tiffany-hayes,15,G,5-10,155,"SEP 20, 1989",35.0,11,Connecticut,203026,
1611661319,2024,10,Megan Gustafson,Megan,megan-gustafson,17,C,6-4,195,"DEC 13, 1996",27.0,5,Iowa,1629484,
1611661319,2024,10,Kate Martin,Kate,kate-martin,20,G,6-0,172,"JUN 05, 2000",24.0,R,Iowa,1642324,
1611661319,2024,10,A'ja Wilson,A'ja,aja-wilson,22,C,6-4,195,"AUG 08, 1996",28.0,6,South Carolina,1628932,
1611661319,2024,10,Kiah Stokes,Kiah,kiah-stokes,41,C,6-3,191,"MAR 30, 1993",31.0,8,Connecticut,204329,
1611661319,2024,10,Sydney Colson,Sydney,sydney-colson,51,G,5-8,140,"AUG 06, 1989",35.0,9,Texas A&M,202641,
1611661320,2024,10,Zia Cooke,Zia,zia-cooke,1,G,5-9,163,"JAN 09, 2001",23.0,1,South Carolina,1641660,
1611661320,2024,10,Rickea Jackson,Rickea,rickea-jackson,2,F,6-2,175,"MAR 16, 2001",23.0,R,Tennessee,1642288,
1611661320,2024,10,Lexie Brown,Lexie,lexie-brown,4,G,5-9,162,"OCT 27, 1994",30.0,6,Duke,1628882,
1611661320,2024,10,Dearica Hamby,Dearica,dearica-hamby,5,F,6-3,189,"NOV 06, 1993",31.0,9,Wake Forest,204324,
1611661320,2024,10,Odyssey Sims,Odyssey,odyssey-sims,6,G,5-8,155,"JUL 13, 1992",32.0,10,Baylor,203824,
1611661320,2024,10,Stephanie Talbot,Stephanie,stephanie-talbot,7,F,6-2,192,"JUN 15, 1994",30.0,5,Adelaide,203855,
1611661320,2024,10,Kia Nurse,Kia,kia-nurse,10,G,6-0,181,"FEB 22, 1996",28.0,5,Connecticut,1628915,
1611661320,2024,10,Rae Burrell,Rae,rae-burrell,12,G-F,6-2,168,"JUN 21, 2000",24.0,2,Tennessee,1630996,
1611661320,2024,10,Crystal Dangerfield,Crystal,crystal-dangerfield,14,G,5-5,130,"MAY 11, 1998",26.0,4,Connecticut,1630101,
1611661320,2024,10,Aari McDonald,Aari,aari-mcdonald,15,G,5-6,141,"AUG 20, 1998",26.0,3,Arizona,1630462,
1611661320,2024,10,Cameron Brink,Cameron,cameron-brink,22,F,6-4,170,"DEC 31, 2001",22.0,R,Stanford,1642287,
1611661320,2024,10,Azurá Stevens,Azurá,azurá-stevens,23,F-C,6-6,180,"FEB 01, 1996",28.0,6,Connecticut,1628922,
1611661320,2024,10,Layshia Clarendon,Layshia,layshia-clarendon,25,G,5-9,158,"MAY 02, 1991",33.0,10,California,203406,
1611661320,2024,10,Li Yueru,Li,li-yueru,28,C,6-7,,"MAR 28, 1999",25.0,1,,1629574,
1611661324,2024,10,Olivia Époupa,Olivia,olivia-époupa,0,G,5-5,122,"APR 30, 1994",30.0,R,,1630151,
1611661324,2024,10,Diamond Miller,Diamond,diamond-miller,1,F,6-3,179,"FEB 11, 2001",23.0,1,Maryland,1641649,
1611661324,2024,10,Natisha Hiedeman,Natisha,natisha-hiedeman,2,G,5-8,128,"FEB 10, 1997",27.0,5,Marquette,1629567,
