GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1022300079,1611661322,Mystics,WAS,Washington,Starters,170.000000:54,30,59,0.508,8,17,0.471,13,16,0.813,2,21,23,18,6,3,9,16,81
1022300079,1611661322,Mystics,WAS,Washington,Bench,54.000000:06,3,10,0.3,1,4,0.25,0,2,0.0,0,6,6,1,1,0,4,10,7
1022300079,1611661313,Liberty,NYL,New York,Starters,169.000000:58,24,62,0.387,11,27,0.407,18,23,0.783,10,22,32,18,5,2,17,20,77
1022300079,1611661313,Liberty,NYL,New York,Bench,41.000000:59,2,8,0.25,1,7,0.143,3,4,0.75,3,6,9,1,3,0,0,3,8
1022300131,1611661320,Sparks,LAS,Los Angeles,Starters,148.000000:51,23,49,0.469,7,16,0.438,11,12,0.917,3,18,21,17,2,1,10,6,64
1022300131,1611661320,Sparks,LAS,Los Angeles,Bench,51.000000:09,9,14,0.643,1,2,0.5,1,2,0.5,0,3,3,3,2,0,2,6,20
1022300131,1611661321,Wings,DAL,Dallas,Starters,165.000000:24,37,67,0.552,6,17,0.353,10,15,0.667,10,21,31,20,9,5,10,13,90
1022300131,1611661321,Wings,DAL,Dallas,Bench,14.000000:06,1,4,0.25,0,1,0.0,0,0,0.0,2,1,3,6,0,0,0,1,2
1022300161,1611661328,Storm,SEA,Seattle,Starters,153.000000:14,30,59,0.508,7,18,0.389,21,23,0.913,10,14,24,18,6,4,8,12,88
1022300161,1611661328,Storm,SEA,Seattle,Bench,46.000000:46,4,13,0.308,1,4,0.25,0,0,0.0,2,10,12,0,0,0,4,6,9
1022300161,1611661317,Mercury,PHO,Phoenix,Starters,138.000000:18,27,54,0.5,5,18,0.278,12,14,0.857,2,19,21,17,7,1,7,15,71
