player_id,player_name,active_flag,rookie_year,last_season,tbd,active_team
100357,"Maxwell, Monica",0,1999,2002,0,
100920,"Mazzante, Kelly",0,2004,2011,0,
203825,"McBride, Kayla",1,2014,2024,0,lynx
100744,"McCain, Brandi",0,2002,2003,0,
100521,"McCain, Tiffany",0,2000,2002,0,
1628286,"McCall, Erica",0,2017,2021,0,
201901,"McCants, Rashanda",0,2009,2010,0,
1628907,"McCarty-Williams, Brooke",0,2019,2019,0,
101019,"McCarville, Janel",0,2005,2016,0,
100187,"McConnell Serio, Suzie",0,1998,2000,0,
201881,"McCoughtry, Angel",0,2009,2022,0,
1629479,"McCowan, Teaira",1,2019,2024,0,wings
202263,"McCray, Danielle",0,2011,2014,0,
100198,"McCray, Nikki",0,1998,2006,0,
100069,"McCray, Nikki (, Penny",0,1998,2006,0,
100478,"McCrimmon, Nicky",0,2000,2003,0,
100471,"McCulley, Danielle",0,2000,2003,0,
